Treat.ID,Treat.desc,Treat.aging.time,Treat.priming.wp,Treat.priming.temp,Treat.priming.duration,Germ.wp,Germ.temp,Germ.promoter.dosage,Germ.inhibitor.dosage,T50,GR50,n
1,Control,,0,0,0,0,20,,,107.0689655,0.009339775,7
2,Primed,,-0.51,15,24,0,20,,,94.01372549,0.010636745,7
3,Primed,,-0.51,15,72,0,20,,,82.65111111,0.012099051,7
4,Primed,,-0.51,15,120,0,20,,,80.49529412,0.012423086,7
5,Primed,,-0.51,15,148,0,20,,,70.21666667,0.014241633,7
6,Primed,,-0.51,20,24,0,20,,,82.5,0.012121212,7
7,Primed,,-0.51,20,72,0,20,,,59.34827586,0.016849689,7
8,Primed,,-0.51,20,120,0,20,,,35.50989011,0.028161169,7
9,Primed,,-0.51,20,148,0,20,,,34.17608696,0.029260225,7
10,Primed,,-0.51,25,24,0,20,,,61.59210526,0.016235847,7
11,Primed,,-0.51,25,72,0,20,,,33.49655172,0.029853819,7
12,Primed,,-0.51,25,120,0,20,,,14.875,0.067226891,7
13,Primed,,-0.51,25,148,0,20,,,13.52272727,0.07394958,7
14,Primed,,-0.91,15,24,0,20,,,103.7045455,0.009642779,7
15,Primed,,-0.91,15,72,0,20,,,100.1953125,0.009980507,7
16,Primed,,-0.91,15,120,0,20,,,86.34657534,0.011581235,7
17,Primed,,-0.91,15,148,0,20,,,82.1,0.012180268,7
18,Primed,,-0.91,20,24,0,20,,,83.66781609,0.011952027,7
19,Primed,,-0.91,20,72,0,20,,,69.23529412,0.0144435,7
20,Primed,,-0.91,20,120,0,20,,,59.62068966,0.016772701,7
21,Primed,,-0.91,20,148,0,20,,,59.77906977,0.016728263,7
22,Primed,,-0.91,25,24,0,20,,,73.68571429,0.013571152,7
23,Primed,,-0.91,25,72,0,20,,,55.42289157,0.018043086,7
24,Primed,,-0.91,25,120,0,20,,,42.93793103,0.023289431,7
25,Primed,,-0.91,25,148,0,20,,,41.41904762,0.024143481,7
26,Primed,,-1.42,15,24,0,20,,,108.1862069,0.009243322,7
27,Primed,,-1.42,15,72,0,20,,,105.039759,0.009520205,7
28,Primed,,-1.42,15,120,0,20,,,104.2792683,0.009589634,7
29,Primed,,-1.42,15,148,0,20,,,103.8205479,0.009632005,7
30,Primed,,-1.42,20,24,0,20,,,102.924,0.009715907,7
31,Primed,,-1.42,20,72,0,20,,,94.01372549,0.010636745,7
32,Primed,,-1.42,20,120,0,20,,,93.54615385,0.01068991,7
33,Primed,,-1.42,20,148,0,20,,,87.06,0.011486331,7
34,Primed,,-1.42,25,24,0,20,,,85.90266667,0.011641082,7
35,Primed,,-1.42,25,72,0,20,,,83.12117647,0.012030629,7
36,Primed,,-1.42,25,120,0,20,,,80.05949367,0.012490711,7
37,Primed,,-1.42,25,148,0,20,,,75.7,0.01321004,7